id,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
411385.0,411385.0,2048040,39.47252,-0.38299,4.0,1.0,2.0,2.0,134.0,2.0,242.2,1.0,4.0,1125,1125,2.2,1125.0,7,22,50,119,23.3,41.0,4.0,1.74,4.63,4.77,4.65,4.76,4.89,4.77,4.63,1.0,1.0,0.0,0.0
421405.0,421405.0,2095681,39.47381,-0.37669,1.0,1.0,1.0,1.0,51.0,2.0,242.2,2.0,2.0,1125,1125,2.0,1125.0,0,9,26,184,23.3,35.0,0.0,2.37,4.84,4.84,4.88,4.91,4.92,4.92,4.82,3.0,0.0,0.3,0.0
421406.0,421406.0,2095681,39.4736,-0.37814,2.0,1.0,1.0,1.0,55.0,5.0,45.0,5.0,5.0,45,45,5.0,45.0,0,11,15,15,19.0,1.0,0.0,0.14,4.79,4.84,4.78,4.89,4.89,4.95,4.63,3.0,0.0,0.3,0.0
447232.0,447232.0,211991268,39.47258,-0.37805,4.0,1.0,1.0,2.0,106.0,1.0,365.0,2.0,3.0,10,10,2.1,10.0,7,18,22,268,23.3,4.0,0.0,1.76,4.64,4.69,4.51,4.72,4.7,4.91,4.69,4.7,2.9,0.0,0.0
467151.0,467151.0,2319737,39.49225,-0.40044,3.0,1.0,1.0,3.0,94.0,3.0,242.2,3.0,5.0,1125,1125,5.0,1125.0,14,20,35,203,93.0,13.0,1.0,0.6,4.56,4.74,4.26,4.67,4.72,4.72,4.47,1.0,1.0,0.0,0.0
472858.0,472858.0,2345188,39.47574,-0.34483,1.0,1.0,1.0,1.0,34.0,2.0,180.0,1.0,2.0,180,180,2.0,180.0,18,37,43,308,53.0,10.0,1.0,0.44,4.83,4.87,4.83,4.89,4.92,4.72,4.81,2.0,0.0,2.0,0.0
476415.0,476415.0,2361433,39.46066,-0.35361,5.0,1.0,2.0,3.0,152.0,2.0,242.2,2.0,5.0,1125,1125,3.0,1125.0,9,23,41,120,40.0,8.0,1.0,0.4,4.83,4.93,4.9,4.95,4.98,4.9,4.73,2.0,2.0,0.0,0.0
478752.0,478752.0,2370939,39.49038,-0.40433,4.0,1.0,1.0,3.0,142.0,3.0,242.2,3.0,3.0,1125,1125,3.0,1125.0,6,14,44,313,23.3,11.0,1.0,1.55,4.95,4.96,4.99,5.0,4.99,4.75,4.9,1.0,1.0,0.0,0.0
509829.0,509829.0,2411133,39.46548,-0.35487,2.0,1.0,3.0,2.0,104.0,3.0,365.0,1.0,3.0,365,365,2.4,365.0,27,57,87,362,1.0,0.0,0.0,0.04,4.0,5.0,4.7,4.0,5.0,5.0,4.0,2.0,1.0,1.0,0.0
524523.0,524523.0,140702,39.47639,-0.36467,1.0,1.0,1.0,1.0,35.0,2.0,60.0,2.0,2.0,60,60,2.0,60.0,5,26,51,51,23.3,22.0,0.0,2.68,4.76,4.86,4.74,4.89,4.87,4.91,4.81,3.0,0.0,0.3,0.0
530706.0,530706.0,2605658,39.47367,-0.38179,3.0,1.0,1.0,2.0,69.0,1.0,242.2,1.0,1.0,1125,1125,1.0,1125.0,0,4,9,224,23.3,17.0,1.0,0.89,4.76,4.84,4.79,4.81,4.77,4.81,4.72,2.0,2.0,0.0,0.0
547590.0,547590.0,2691959,39.45842,-0.34611,2.0,1.0,1.0,1.0,171.0,3.2,60.0,5.0,5.0,1125,1125,5.0,1125.0,19,49,79,169,49.0,6.0,0.0,0.33,4.85,4.87,4.85,4.81,4.85,4.81,4.73,1.0,1.0,0.0,0.0
556620.0,556620.0,2736688,39.48482805,-0.368576343,1.0,1.0,1.0,1.0,38.0,3.0,30.0,3.0,7.0,30,30,3.4,30.0,7,22,52,52,23.3,20.0,1.0,1.47,4.92,4.94,4.84,4.93,4.97,4.9,4.9,2.0,0.0,2.0,0.0
579273.0,579273.0,2849128,39.47227,-0.38272,3.0,1.0,1.0,1.0,70.0,2.0,365.0,2.0,2.0,1125,1125,2.0,1125.0,4,10,12,228,23.3,10.1,5.0,3.3,4.64,4.71,4.48,4.87,4.9,4.84,4.64,1.0,1.0,0.0,0.0
595233.0,595233.0,2940808,39.47451,-0.4087,3.0,1.0,1.0,1.0,81.0,2.0,100.0,1.0,9.0,100,100,3.6,100.0,7,17,18,236,23.3,10.1,5.0,3.05,4.89,4.93,4.79,4.88,4.92,4.84,4.87,1.0,1.0,0.0,0.0
633762.0,633762.0,3155089,39.4787,-0.37599,4.0,1.0,0.0,2.0,172.0,1.0,365.0,1.0,4.0,999,999,2.3,999.0,3,18,41,298,23.3,19.0,0.0,1.77,4.88,4.89,4.93,4.92,4.92,4.98,4.8,12.0,12.0,0.0,0.0
643644.0,643644.0,3218281,39.46052,-0.37771,3.0,1.0,1.0,2.0,143.0,2.0,30.0,2.0,2.0,30,30,2.0,30.0,2,6,14,14,78.0,8.0,1.0,0.52,4.9,4.88,4.7,4.87,4.93,4.96,4.74,1.0,1.0,0.0,0.0
663047.0,663047.0,3095064,39.46358,-0.35514,4.0,1.0,2.0,2.0,159.0,1.0,365.0,1.9,4.7,999,999,4.0,999.0,0,9,22,192,39.0,7.0,1.0,0.35,4.95,4.92,4.92,4.92,4.97,4.85,4.77,1.0,1.0,0.0,0.0
672551.0,672551.0,3410950,39.47409,-0.38381,3.3,1.0,1.4,2.0,104.0,2.0,10.0,2.0,3.0,10,10,2.1,10.0,12,28,41,281,23.3,30.0,3.0,2.24,4.84,4.82,4.81,4.96,4.91,4.78,4.76,1.0,1.0,0.0,0.0
681002.0,681002.0,3467642,39.45875,-0.35764,2.0,1.0,1.0,1.0,41.0,2.0,120.0,1.0,2.0,1125,1125,2.0,1125.0,2,5,26,93,23.3,28.0,1.0,2.82,4.48,4.63,4.11,4.73,4.77,4.65,4.55,1.0,0.0,1.0,0.0
